날짜,종가,오픈,고가,저가,거래량,변동 %
2023- 01- 01,2353.55,2249.95,2370.18,2180.67,342.10M,5.24%
2022- 12- 01,2236.4,2501.43,2501.43,2236.38,361.19M,-9.55%
2022- 11- 01,2472.53,2301.58,2499.43,2296.44,12.75B,7.80%
2022- 10- 01,2293.61,2189.51,2295.51,2162.87,11.77B,6.41%
2022- 09- 01,2155.49,2443,2453.95,2134.77,9.38B,-12.81%
2022- 08- 01,2472.05,2444.05,2546.35,2417.01,9.77B,0.84%
2022- 07- 01,2451.5,2342.92,2463.05,2276.63,7.96B,5.10%
2022- 06- 01,2332.64,2670.74,2681.51,2306.48,12.01B,-13.15%
2022- 05- 01,2685.9,2669.21,2702.1,2546.8,16.87B,-0.34%
2022- 04- 01,2695.05,2745.85,2769.18,2615.5,22.03B,-2.27%
2022- 03- 01,2757.65,2698.31,2765.2,2605.81,14.41B,2.17%
2022- 02- 01,2699.18,2706.34,2788.27,2642.63,10.12B,1.35%
2022- 01- 01,2663.34,2998.32,3010.77,2591.53,10.93B,-10.56%
2021- 12- 01,2977.65,2860.12,3043.83,2837.03,10.67B,4.88%
2021- 11- 01,2839.01,2984.18,3034.3,2822.73,13.79B,-4.43%
2021- 10- 01,2970.68,3056.21,3062.6,2901.51,13.91B,-3.20%
2021- 09- 01,3068.82,3195.67,3215.13,3030.6,14.27B,-4.08%
2021- 08- 01,3199.27,3218.42,3296.17,3049.03,13.80B,-0.10%
2021- 07- 01,3202.32,3297.92,3313.51,3188.8,22.12B,-2.86%
2021- 06- 01,3296.68,3207.12,3316.08,3199.18,35.35B,2.90%
2021- 05- 01,3203.92,3149.05,3255.9,3103.88,18.79B,1.78%
2021- 04- 01,3147.86,3073.77,3223.05,3069.68,31.07B,2.82%
2021- 03- 01,3061.42,3021.68,3096.5,2929.36,27.90B,1.61%
2021- 02- 01,3012.95,2976.81,3180.94,2947.24,30.03B,1.23%
2021- 01- 01,2976.21,2874.5,3266.23,2869.11,26.09B,3.58%
2020- 12- 01,2873.47,2613.42,2878.21,2611.67,24.56B,10.89%
2020- 11- 01,2591.34,2276.61,2648.66,2267.95,24.38B,14.30%
2020- 10- 01,2267.15,2330.55,2418.89,2266.93,15.71B,-2.61%
2020- 09- 01,2327.89,2340.19,2450.53,2267.63,19.61B,0.07%
2020- 08- 01,2326.17,2251.65,2458.17,2237.04,17.64B,3.41%
2020- 07- 01,2249.37,2128.81,2281.41,2101.33,18.87B,6.69%
2020- 06- 01,2108.33,2037.04,2217.21,2030.82,19.86B,3.88%
2020- 05- 01,2029.6,1906.42,2054.52,1894.29,16.21B,4.21%
2020- 04- 01,1947.56,1737.28,1957.51,1664.13,21.05B,10.99%
2020- 03- 01,1754.64,1997.03,2089.08,1439.43,17.09B,-11.69%
2020- 02- 01,1987.01,2086.61,2255.49,1980.82,13.96B,-6.23%
2020- 01- 01,2119.01,2201.21,2277.23,2119.01,13.10B,-3.58%
2019- 12- 01,2197.67,2097.55,2215.55,2053.56,10.19B,5.25%
2019- 11- 01,2087.96,2084.79,2165.89,2081.53,10.74B,0.22%
2019- 10- 01,2083.48,2062.44,2105.17,2010.9,8.88B,0.99%
2019- 09- 01,2063.05,1961.19,2101.63,1958.59,8.62B,4.84%
2019- 08- 01,1967.79,2015.09,2032.23,1891.81,10.47B,-2.80%
2019- 07- 01,2024.55,2147.24,2147.24,2010.95,11.91B,-4.98%
2019- 06- 01,2130.62,2031.03,2141.27,2029.17,11.26B,4.35%
2019- 05- 01,2041.74,2192.94,2217.03,2016.25,11.24B,-7.34%
2019- 04- 01,2203.59,2153.31,2252.05,2153.31,9.69B,2.94%
2019- 03- 01,2140.67,2210.97,2216.02,2120.93,6.46B,-2.49%
2019- 02- 01,2195.44,2211.93,2241.76,2167.36,6.88B,-0.43%
2019- 01- 01,2204.85,2050.55,2222.88,1984.53,9.46B,8.03%
2018- 12- 01,2041.04,2127.78,2136.64,2014.28,7.63B,-2.66%
2018- 11- 01,2096.86,2035.11,2136.74,2023.43,6.98B,3.31%
2018- 10- 01,2029.69,2349.64,2352.11,1985.95,7.02B,-13.37%
2018- 09- 01,2343.07,2317.93,2356.62,2264.9,5.43B,0.87%
2018- 08- 01,2322.88,2301.17,2322.88,2218.09,6.20B,1.20%
2018- 07- 01,2295.26,2322.23,2327.59,2243.9,7.51B,-1.33%
2018- 06- 01,2326.13,2419.63,2479.56,2296.39,9.45B,-4.00%
2018- 05- 01,2423.01,2515.75,2516.57,2399.58,12.82B,-3.67%
2018- 04- 01,2515.38,2454.72,2515.38,2405.91,10.44B,2.84%
2018- 03- 01,2445.85,2406.57,2508.71,2374.8,8.08B,0.76%
2018- 02- 01,2427.36,2578.91,2583.74,2346.73,7.28B,-5.42%
2018- 01- 01,2566.46,2474.86,2607.1,2465.94,8.25B,4.01%
2017- 12- 01,2467.49,2488.92,2514.61,2411.48,5.75B,-0.36%
2017- 11- 01,2476.37,2535.97,2561.63,2474.28,7.47B,-1.86%
2017- 10- 01,2523.43,2425.63,2528.32,2421.1,5.05B,5.39%
2017- 09- 01,2394.47,2367.45,2429.12,2314.31,5.84B,1.32%
2017- 08- 01,2363.19,2397.12,2434.47,2310.2,5.72B,-1.64%
2017- 07- 01,2402.71,2397.66,2453.17,2372.83,6.23B,0.46%
2017- 06- 01,2391.79,2348.31,2402.8,2335.63,7.48B,1.89%
2017- 05- 01,2347.38,2213.61,2371.67,2212.87,7.03B,6.44%
2017- 04- 01,2205.44,2166.04,2217.04,2117.82,7.73B,2.09%
2017- 03- 01,2160.23,2105.19,2182.42,2067.68,8.87B,3.28%
2017- 02- 01,2091.64,2075.31,2108.99,2052.29,7.13B,1.16%
2017- 01- 01,2067.57,2022.23,2091.02,2015.68,8.42B,2.03%
2016- 12- 01,2026.46,1987.48,2053.46,1960.65,6.04B,2.17%
2016- 11- 01,1983.48,2003.41,2015.23,1931.07,6.61B,-1.23%
2016- 10- 01,2008.19,2056.94,2070.43,2002.29,6.64B,-1.73%
2016- 09- 01,2043.63,2022.96,2073.89,1991.47,8.85B,0.44%
2016- 08- 01,2034.65,2024.71,2063.09,1993,7.81B,0.92%
2016- 07- 01,2016.19,1977.36,2030.69,1944.33,8.07B,2.33%
2016- 06- 01,1970.35,1976.87,2035.27,1892.75,9.82B,-0.66%
2016- 05- 01,1983.4,1991.84,1991.84,1937.67,9.65B,-0.54%
2016- 04- 01,1994.15,1994.77,2023.77,1954.11,7.97B,-0.09%
2016- 03- 01,1995.85,1944.27,2009.1,1935.55,7.75B,4.13%
2016- 02- 01,1916.66,1919.62,1929.53,1817.97,6.19B,0.24%
2016- 01- 01,1912.06,1954.47,1954.52,1830.06,7.30B,-2.51%
2015- 12- 01,1961.31,2001.51,2026.33,1919.22,9.51B,-1.54%
2015- 11- 01,1991.97,2033.15,2056.12,1942.85,9.00B,-1.85%
2015- 10- 01,2029.47,1963.55,2064.72,1958.63,13.19B,3.40%
2015- 09- 01,1962.81,1934.44,1996.47,1868.48,10.05B,1.10%
2015- 08- 01,1941.49,2026.25,2038.41,1800.75,8.37B,-4.37%
2015- 07- 01,2030.16,2077.27,2110.81,1983.78,13.37B,-2.12%
2015- 06- 01,2074.2,2110.12,2110.88,2008.46,9.17B,-1.92%
2015- 05- 01,2114.8,2134.51,2148.7,2067.99,7.39B,-0.58%
2015- 04- 01,2127.17,2035.4,2189.54,2024.64,11.58B,4.22%
2015- 03- 01,2041.03,1996.72,2047.13,1969.13,8.51B,2.78%
2015- 02- 01,1985.8,1947.91,1993.43,1932.75,5.91B,1.87%
2015- 01- 01,1949.26,1914.24,1964.13,1876.27,6.85B,1.76%
2014- 12- 01,1915.59,1971.95,1990.04,1881.73,6.71B,-3.29%
2014- 11- 01,1980.78,1959.66,1994.82,1923.05,6.30B,0.83%
2014- 10- 01,1964.43,2013.47,2013.47,1896.54,7.39B,-2.76%
2014- 09- 01,2020.09,2067.8,2072.59,2007.3,6.54B,-2.34%
2014- 08- 01,2068.54,2063.71,2088.86,2026.56,6.08B,-0.37%
2014- 07- 01,2076.12,1993.29,2093.08,1985.53,6.98B,3.69%
2014- 06- 01,2002.21,1998.81,2016.78,1965.12,4.60B,0.36%
2014- 05- 01,1994.96,1966.29,2022.59,1934.72,4.29B,1.69%
2014- 04- 01,1961.79,1983.78,2013.09,1955.15,4.69B,-1.20%
2014- 03- 01,1985.61,1967.9,1989.8,1913.64,4.97B,0.28%
2014- 02- 01,1979.99,1930.09,1981.15,1885.53,4.48B,2.00%
2014- 01- 01,1941.15,2013.11,2013.89,1899.76,5.09B,-3.49%
2013- 12- 01,2011.34,2050.45,2052.88,1947.44,4.60B,-1.64%
2013- 11- 01,2044.87,2037.25,2050.7,1963.42,6.10B,0.73%
2013- 10- 01,2030.09,1997.62,2063.28,1981.21,5.70B,1.66%
2013- 09- 01,1996.96,1925.32,2018.02,1921.01,5.09B,3.66%
2013- 08- 01,1926.36,1916.56,1939.28,1838.52,7.04B,0.64%
2013- 07- 01,1914.03,1851.57,1920.6,1809.72,7.60B,2.72%
2013- 06- 01,1863.32,1993.11,2000.56,1770.53,5.61B,-6.88%
2013- 05- 01,2001.05,1961.67,2013.29,1935.57,6.59B,1.89%
2013- 04- 01,1963.95,2009.94,2010.15,1888.3,7.69B,-2.04%
2013- 03- 01,2004.89,2028.55,2033.89,1946.05,6.86B,-1.07%
2013- 02- 01,2026.49,1964.75,2030.85,1928.75,7.31B,3.29%
2013- 01- 01,1961.94,2013.74,2042.48,1930.37,10.90B,-1.76%
2012- 12- 01,1997.05,1937.28,2006.08,1928.09,7.15B,3.32%
2012- 11- 01,1932.9,1903.57,1941.84,1856.81,9.85B,1.09%
2012- 10- 01,1912.06,1998.52,2007.84,1884.77,10.14B,-4.22%
2012- 09- 01,1996.21,1909.06,2012.74,1873.49,15.07B,4.78%
2012- 08- 01,1905.12,1870.58,1964.07,1843.87,9.80B,1.23%
2012- 07- 01,1881.99,1864.73,1896.83,1758.99,8.28B,1.51%
2012- 06- 01,1854.01,1832.08,1908.19,1776.85,7.46B,0.57%
2012- 05- 01,1843.47,1994.17,2001.11,1779.47,10.02B,-6.99%
2012- 04- 01,1981.99,2022.42,2051.8,1954.01,10.65B,-1.59%
2012- 03- 01,2014.04,2041.52,2057.28,1966.69,10.43B,-0.80%
2012- 02- 01,2030.25,1948.57,2047.43,1947.46,13.20B,3.81%
2012- 01- 01,1955.79,1831.69,1973.35,1810.48,8.60B,7.12%
2011- 12- 01,1825.74,1911.5,1929.18,1750.6,9.12B,-1.18%
2011- 11- 01,1847.51,1891.22,1932.95,1766.73,7.83B,-3.22%
2011- 10- 01,1909.03,1683.94,1963.74,1658.06,7.31B,7.88%
2011- 09- 01,1769.65,1887.21,1928.4,1644.11,7.69B,-5.88%
2011- 08- 01,1880.11,2160.09,2173.28,1684.68,9.61B,-11.86%
2011- 07- 01,2133.21,2120.03,2192.83,2105.24,6.60B,1.55%
2011- 06- 01,2100.69,2142.67,2152.95,2008.84,5.47B,-1.95%
2011- 05- 01,2142.47,2203.09,2229.09,2030.68,6.22B,-2.28%
2011- 04- 01,2192.36,2107.67,2231.47,2081.98,7.72B,4.07%
2011- 03- 01,2106.7,1922.38,2106.74,1882.09,6.62B,8.63%
2011- 02- 01,1939.3,2079.92,2107.83,1935.93,5.35B,-6.30%
2011- 01- 01,2069.73,2063.69,2121.06,2054.83,8.20B,0.91%
2010- 12- 01,2051,1907.7,2052.97,1904.71,8.78B,7.68%
2010- 11- 01,1904.63,1889.57,1976.46,1875.34,7.77B,1.15%
2010- 10- 01,1882.95,1872.39,1924.61,1837.08,7.79B,0.54%
2010- 09- 01,1872.81,1751.96,1873.79,1748.3,6.32B,7.46%
2010- 08- 01,1742.75,1771.38,1797.42,1716.86,7.29B,-0.94%
2010- 07- 01,1759.33,1687,1778.72,1650.3,8.05B,3.59%
2010- 06- 01,1698.29,1634.55,1741.48,1618.57,7.10B,3.48%
2010- 05- 01,1641.25,1735.68,1740.15,1532.68,7.58B,-5.76%
2010- 04- 01,1741.56,1695.3,1757.76,1695.3,9.31B,2.88%
2010- 03- 01,1692.85,1612.43,1705.57,1608.97,9.20B,6.16%
2010- 02- 01,1594.58,1603.87,1631.71,1548.78,7.22B,-0.49%
2010- 01- 01,1602.43,1681.71,1723.22,1595.39,9.20B,-4.77%
2009- 12- 01,1682.77,1550.35,1695.33,1541.09,7.37B,8.17%
2009- 11- 01,1555.6,1543.24,1630.41,1519.4,5.91B,-1.59%
2009- 10- 01,1580.69,1680.46,1685.01,1564.41,7.70B,-5.53%
2009- 09- 01,1673.14,1592.29,1723.17,1583.11,10.57B,5.11%
2009- 08- 01,1591.85,1561.94,1616.29,1530.65,10.75B,2.22%
2009- 07- 01,1557.29,1386.33,1559.07,1377.6,10.66B,12.03%
2009- 06- 01,1390.07,1394.92,1437.76,1350.31,11.06B,-0.42%
2009- 05- 01,1395.89,1386.02,1436.92,1315.21,13.63B,1.94%
2009- 04- 01,1369.36,1214.06,1377.82,1201.71,16.15B,13.52%
2009- 03- 01,1206.26,1044.28,1256.7,992.69,11.49B,13.47%
2009- 02- 01,1063.03,1145.87,1227.73,1036.67,10.35B,-8.53%
2009- 01- 01,1162.11,1132.87,1228.56,1085.72,7.23B,3.35%
2008- 12- 01,1124.47,1074,1201.14,997,10.43B,4.50%
2008- 11- 01,1076.07,1117.13,1217.82,914.02,11.20B,-3.32%
2008- 10- 01,1113.06,1453.4,1458.68,892.16,10.08B,-23.13%
2008- 09- 01,1448.06,1453.14,1503.83,1366.88,8.27B,-1.78%
2008- 08- 01,1474.24,1578.55,1597.31,1466.46,4.79B,-7.55%
2008- 07- 01,1594.67,1675.7,1681.45,1488.75,6.81B,-4.79%
2008- 06- 01,1674.92,1848.3,1853.5,1669.69,6.32B,-9.56%
2008- 05- 01,1852.02,1851.64,1901.13,1791.4,5.93B,1.45%
2008- 04- 01,1825.47,1701.64,1831.84,1694.53,6.14B,7.13%
2008- 03- 01,1703.99,1676.3,1709.31,1537.53,6.08B,-0.45%
2008- 02- 01,1711.62,1645.05,1739.6,1619.65,5.77B,5.35%
2008- 01- 01,1624.68,1891.45,1892.5,1570.87,6.33B,-14.36%
2007- 12- 01,1897.13,1907.95,1972.37,1808.86,5.45B,-0.47%
2007- 11- 01,1906,2085.33,2085.45,1745.26,7.39B,-7.69%
2007- 10- 01,2064.85,1948.78,2070.86,1875.23,9.68B,6.08%
2007- 09- 01,1946.48,1876.92,1952.39,1805.88,6.98B,3.91%
2007- 08- 01,1873.24,1920.07,1928.64,1626.87,8.62B,-3.11%
2007- 07- 01,1933.27,1741.41,2015.48,1736.63,10.32B,10.88%
2007- 06- 01,1743.6,1712.97,1813.84,1707.75,10.04B,2.51%
2007- 05- 01,1700.91,1550.39,1702.01,1546.6,8.74B,10.29%
2007- 04- 01,1542.24,1456.19,1565.03,1452.56,7.85B,6.17%
2007- 03- 01,1452.55,1407.19,1459.69,1375.84,5.81B,2.48%
2007- 02- 01,1417.34,1367.07,1471.04,1362.04,4.38B,4.20%
2007- 01- 01,1360.23,1438.89,1439.71,1345.08,4.24B,-5.17%
2006- 12- 01,1434.46,1433.4,1445.51,1373.03,4.26B,0.16%
2006- 11- 01,1432.21,1372.03,1434.85,1363.71,5.15B,4.96%
2006- 10- 01,1364.55,1370.27,1380.91,1303.62,4.81B,-0.50%
2006- 09- 01,1371.41,1354.77,1378.99,1323.9,5.24B,1.38%
2006- 08- 01,1352.74,1296.71,1361.48,1277.31,4.51B,4.23%
2006- 07- 01,1297.82,1294.57,1316.12,1231.05,3.76B,0.21%
2006- 06- 01,1295.15,1308.44,1319.05,1192.09,4.46B,-1.71%
2006- 05- 01,1317.7,1419.64,1464.7,1295.47,5.30B,-7.19%
2006- 04- 01,1419.73,1362.35,1458.67,1361.14,6.89B,4.42%
2006- 03- 01,1359.6,1377.46,1379.3,1296.78,7.13B,-0.87%
2006- 02- 01,1371.59,1390.43,1398.19,1299.73,7.21B,-2.02%
2006- 01- 01,1399.83,1383.32,1426.21,1285.63,10.21B,1.48%
2005- 12- 01,1379.37,1295.56,1383.14,1288.98,10.33B,6.31%
2005- 11- 01,1297.44,1165.77,1300.88,1165.31,10.32B,12.03%
2005- 10- 01,1158.11,1228.03,1246.41,1137.23,9.70B,-5.15%
2005- 09- 01,1221.01,1093.47,1238.72,1092.14,9.19B,12.71%
2005- 08- 01,1083.33,1113.9,1137.46,1055.54,9.67B,-2.52%
2005- 07- 01,1111.29,1003.56,1113.43,1002.38,13.62B,10.23%
2005- 06- 01,1008.16,964.08,1010.91,963.78,8.52B,3.91%
2005- 05- 01,970.21,916.48,972.17,910.72,6.67B,6.46%
2005- 04- 01,911.3,963.78,996.9,902.88,8.54B,-5.63%
2005- 03- 01,965.68,1015.16,1025.08,946.41,13.03B,-4.52%
2005- 02- 01,1011.36,930.16,1011.65,918.44,8.56B,8.43%
2005- 01- 01,932.7,896,934.1,866.17,8.29B,4.11%
2004- 12- 01,895.92,874.47,896.1,838.1,6.71B,2.03%
2004- 11- 01,878.06,832.52,891.71,831.32,6.41B,5.18%
2004- 10- 01,834.84,835.5,896.24,801.01,6.81B,-0.03%
2004- 09- 01,835.09,803.51,863.19,801.58,7.21B,3.92%
2004- 08- 01,803.57,730.61,815.05,713.99,6.94B,9.28%
2004- 07- 01,735.34,784.85,792.77,717.77,7.89B,-6.42%
2004- 06- 01,785.79,807.55,820.87,729.06,8.42B,-2.25%
2004- 05- 01,803.84,863.03,876.3,716.95,6.75B,-6.84%
2004- 04- 01,862.84,878.78,939.52,854.39,8.78B,-2.01%
2004- 03- 01,880.5,892.57,910.67,822.05,9.65B,-0.33%
2004- 02- 01,883.42,850.28,890.51,834.7,9.66B,4.12%
2004- 01- 01,848.5,816.26,873.61,813.63,7.63B,4.66%
2003- 12- 01,810.71,796.36,824.26,774.04,9.18B,1.82%
2003- 11- 01,796.18,783.08,818.34,752.14,11.21B,1.77%
2003- 10- 01,782.36,690.47,793.35,688.62,10.16B,12.16%
2003- 09- 01,697.52,763.22,775.88,688.07,8.05B,-8.16%
2003- 08- 01,759.47,718.84,765.27,693.7,9.22B,6.44%
2003- 07- 01,713.52,666.45,724.53,663.35,12.01B,6.51%
2003- 06- 01,669.93,643.93,690.7,632.47,9.80B,5.76%
2003- 05- 01,633.42,600.47,637.19,582.87,9.59B,5.68%
2003- 04- 01,599.35,529.07,627.5,525.51,15.51B,11.88%
2003- 03- 01,535.7,578.5,590.55,512.3,14.94B,-6.90%
2003- 02- 01,575.43,591.88,619.45,561.69,11.62B,-2.78%
2003- 01- 01,591.86,633.03,679.3,581.13,12.59B,-5.69%
2002- 12- 01,627.55,724.99,737.7,613.76,15.69B,-13.42%
2002- 11- 01,724.8,652.34,725.6,643.39,20.69B,10.00%
2002- 10- 01,658.92,637.81,682.81,576.49,22.58B,1.93%
2002- 09- 01,646.42,739.84,755.44,639.74,13.63B,-12.22%
2002- 08- 01,736.4,720.99,753.5,660.94,23.26B,2.56%
2002- 07- 01,717.99,722.58,807.36,688.68,30.55B,-3.33%
2002- 06- 01,742.72,793.53,832.26,699.15,13.00B,-6.74%
2002- 05- 01,796.4,855.41,878.68,794.92,15.25B,-5.45%
2002- 04- 01,842.34,900.47,943.54,829.16,14.74B,-5.94%
2002- 03- 01,895.58,842.21,914.93,815.54,13.13B,9.22%
2002- 02- 01,819.99,757.07,826.6,718.86,10.89B,9.61%
2002- 01- 01,748.07,698,787.65,690.36,15.76B,7.84%
2001- 12- 01,693.7,643.61,715.93,631.87,11.60B,7.74%
2001- 11- 01,643.89,540.63,680.91,536.2,16.02B,19.72%
2001- 10- 01,537.81,498.87,550.93,493.12,10.31B,12.12%
2001- 09- 01,479.68,545.02,559.17,463.54,12.16B,-12.00%
2001- 08- 01,545.11,546.3,585.36,542,9.65B,0.66%
2001- 07- 01,541.55,593.03,600.51,512.78,5.65B,-9.00%
2001- 06- 01,595.13,615.67,623.37,580.75,7.28B,-2.78%
